,place,category,rank
18,1. Sun City,entertainment,2
19,2. Rainbow Resorts Water Park,entertainment,3
20,3. Thunderzone Amusement and Water Park,entertainment,4
21,4. Bliss Aqua World,entertainment,5
31,1. Wagah Border,entertainment,1
